127.0.0.1 - - [11/Jun/2020:09:31:28 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:29 +0900] "GET /antmanager/ HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:29 +0900] "GET /antmanager/resources/css/pricing.css HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:29 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:32 +0900] "GET /antmanager/diary/view HTTP/1.1" 500 12327
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:36 +0900] "GET /antmanager/ HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:37 +0900] "GET /antmanager/diary/view HTTP/1.1" 500 12327
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:38 +0900] "GET /antmanager/ HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:39 +0900] "GET /antmanager/login HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:42 +0900] "GET /antmanager/ HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:42 +0900] "GET /antmanager/resources/css/pricing.css HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:44 +0900] "GET /antmanager/login HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:50 +0900] "POST /antmanager/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:50 +0900] "GET /antmanager/ HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:50 +0900] "GET /antmanager/resources/css/pricing.css HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:52 +0900] "GET /antmanager/diary/view HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [11/Jun/2020:09:31:52 +0900] "GET /antmanager/resources/css/pricing.css HTTP/1.1" 200 248
